,date,house,senate,joint,executive
0,2021-03-29T14:50:09.363Z,"('H3456', 'Referred to the committee on Transportation')",,,
1,2021-03-29T15:26:19.180Z,,"('S2289', 'Referred to the committee on Transportation')",,
2,2021-03-29T15:26:19.180Z,"('S2289', 'House concurred')",,,
3,2021-03-30T03:59:59.000Z,,"('H3456', 'Senate concurred')",,
4,2021-05-28T20:03:41.093Z,,,"('H3456', 'Hearing scheduled for 06/23/2021 from 02:00 PM-04:00 PM in Virtual Hearing')",
5,2021-05-28T20:03:41.483Z,,,"('S2289', 'Hearing scheduled for 06/23/2021 from 02:00 PM-04:00 PM in Virtual Hearing')",
6,2022-01-31T16:30:33.453Z,"('H3456', 'Reporting date extended to Friday March 4, 2022, pending concurrence')",,,
7,2022-01-31T16:30:33.453Z,"('S2289', 'Reporting date extended to Friday March 4, 2022, pending concurrence')",,,
8,2022-02-10T16:41:41.283Z,,"('H3456', 'Senate concurred')",,
9,2022-02-10T16:41:41.283Z,,"('S2289', 'Senate concurred')",,
10,2022-02-14T18:10:10.917Z,"('H4459', 'Reported from the committee on Transportation')",,,
11,2022-02-14T18:10:10.917Z,"('H4459', 'New draft of S2289 and H3456')",,,
12,2022-02-14T18:10:10.917Z,"('H4459', 'Bill reported favorably by committee and referred to the committee on House Ways and Means')",,,
13,2022-02-14T18:10:10.917Z,"('H3456', 'Accompanied a new draft, see H4459')",,,
14,2022-02-14T18:10:10.917Z,"('S2289', 'Accompanied a new draft, see H4459')",,,
15,2022-02-15T05:00:00.000Z,"('H4459', 'Committee recommended ought to pass with an amendment, substituting therefor a bill, see H4461')",,,
16,2022-02-15T05:00:00.000Z,"('H4459', 'Referred to the committee on House Steering, Policy and Scheduling with the amendment pending')",,,
17,2022-02-15T05:00:00.000Z,"('H4459', 'Committee reported that the matter be placed in the Orders of the Day for the next sitting for a second reading with the amendment pending')",,,
18,2022-02-15T05:00:00.000Z,"('H4459', 'Rules suspended')",,,
19,2022-02-15T05:00:00.000Z,"('H4459', 'Read second, amended (as recommended by the committee on House Ways and Means)')",,,
20,2022-02-15T05:00:00.000Z,"('H4459', 'New draft substituted, see H4461')",,,
21,2022-02-16T05:00:00.000Z,"('H4470', 'H4461, published as amended')",,,
22,2022-02-16T05:00:00.000Z,"('H4470', 'Passed to be engrossed - 120 YEAS to 36 NAYS (See YEA and NAY No. 147)')",,,
